# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      34     0.05564     0.09637     0.00000   -1.173985970   -3.008488912   -1.834502942
     1      34     0.06677     0.11564     0.00000   -1.146319673   -3.006518017   -1.860198344
     1      34     0.07789     0.13492     0.00000   -1.099095398   -2.959186277   -1.860090879
     1      34     0.08902     0.15419     0.00000   -1.045805604   -2.894741854   -1.848936250
     1      34     0.10015     0.17347     0.00000   -1.118121102   -2.879701517   -1.761580415
     1      34     0.11128     0.19274     0.00000   -1.281148150   -3.105376629   -1.824228480
     1      34     0.12241     0.21201     0.00000   -1.481763197   -3.301199638   -1.819436441
     1      34     0.13353     0.23129     0.00000   -1.676778008   -3.459056020   -1.782278012
     1      34     0.14466     0.25056     0.00000   -1.836436614   -3.629618252   -1.793181638
     1      34     0.15579     0.26983     0.00000   -1.974324004   -3.778088148   -1.803764144
     1      34     0.16692     0.28911     0.00000   -2.086532040   -3.902174345   -1.815642305
     1      34     0.17804     0.30838     0.00000   -2.173973257   -3.989630438   -1.815657181
     1      34     0.18917     0.32766     0.00000   -2.240038199   -4.055639112   -1.815600913
     1      34     0.20030     0.34693     0.00000   -2.288380728   -4.097142760   -1.808762031
     1      34     0.21143     0.36620     0.00000   -2.322358174   -4.122563193   -1.800205019
     1      34     0.22256     0.38548     0.00000   -2.345688574   -4.130171597   -1.784483023
     1      34     0.23368     0.40475     0.00000   -2.364546792   -4.122464528   -1.757917736
     1      34     0.24481     0.42403     0.00000   -2.393622177   -4.105291685   -1.711669507
     1      34     0.25594     0.44330     0.00000   -2.451824098   -4.174954841   -1.723130743
     1      34     0.26707     0.46257     0.00000   -2.452394788   -4.144132326   -1.691737538
     1      34     0.27819     0.48185     0.00000   -2.518714783   -4.188933518   -1.670218736
     1      34     0.28932     0.50112     0.00000   -2.631194575   -4.301563227   -1.670368652
     1      34     0.30045     0.52040     0.00000   -2.693230738   -4.398260523   -1.705029785
     1      34     0.31158     0.53967     0.00000   -2.696494020   -4.417762740   -1.721268720
     1      34     0.32271     0.55894     0.00000   -2.697513387   -4.428364180   -1.730850793
     1      34     0.33383     0.57822     0.00000   -2.698040546   -4.439283452   -1.741242906
     1      34     0.33940     0.56858     0.00000   -2.697739123   -4.433263546   -1.735524423
     1      34     0.34496     0.55894     0.00000   -2.696455480   -4.426622377   -1.730166897
     1      34     0.35053     0.54931     0.00000   -2.693380669   -4.418758826   -1.725378157
     1      34     0.35609     0.53967     0.00000   -2.687267929   -4.405412185   -1.718144255
     1      34     0.36165     0.53003     0.00000   -2.676243017   -4.377829319   -1.701586302
     1      34     0.36722     0.52040     0.00000   -2.634240238   -4.304237296   -1.669997058
     1      34     0.37278     0.51076     0.00000   -2.559982554   -4.208570564   -1.648588010
     1      34     0.37835     0.50112     0.00000   -2.469888047   -4.101621181   -1.631733134
     1      34     0.38391     0.49148     0.00000   -2.367300596   -3.987247362   -1.619946766
     1      34     0.38947     0.48185     0.00000   -2.341337420   -4.027149706   -1.685812286
     1      34     0.39504     0.47221     0.00000   -2.334872385   -4.033680161   -1.698807776
     1      34     0.40060     0.46257     0.00000   -2.326119688   -4.037120733   -1.711001045
     1      34     0.40616     0.45294     0.00000   -2.279160847   -3.953444772   -1.674283925
     1      34     0.41173     0.44330     0.00000   -2.246232315   -3.952397864   -1.706165550
     1      34     0.41729     0.43366     0.00000   -2.222102884   -3.956631902   -1.734529018
     1      34     0.42286     0.42403     0.00000   -2.202085552   -3.949575043   -1.747489490
     1      34     0.42842     0.41439     0.00000   -2.183625498   -3.945776469   -1.762150970
     1      34     0.43398     0.40475     0.00000   -2.165516586   -3.943752596   -1.778236010
     1      34     0.43955     0.39512     0.00000   -2.147278693   -3.940284929   -1.793006236
     1      34     0.44511     0.38548     0.00000   -2.128831487   -3.930169491   -1.801338003
     1      34     0.45068     0.37584     0.00000   -2.110330847   -3.920901625   -1.810570777
     1      34     0.45624     0.36620     0.00000   -2.092081905   -3.912747783   -1.820665877
     1      34     0.46180     0.35657     0.00000   -2.074487796   -3.902264539   -1.827776743
     1      34     0.46737     0.34693     0.00000   -2.058014406   -3.890120272   -1.832105866
     1      34     0.47293     0.33729     0.00000   -2.043161822   -3.880665825   -1.837504004
     1      34     0.47850     0.32766     0.00000   -2.030437768   -3.874388483   -1.843950715
     1      34     0.48406     0.31802     0.00000   -2.020329994   -3.867419943   -1.847089949
     1      34     0.48962     0.30838     0.00000   -2.013277741   -3.863322171   -1.850044430
     1      34     0.49519     0.29875     0.00000   -2.009642378   -3.863928750   -1.854286372
     1      34     0.50075     0.28911     0.00000   -2.009680301   -3.869493872   -1.859813571
     1      34     0.50631     0.27947     0.00000   -2.009642378   -3.863928750   -1.854286372
     1      34     0.51188     0.26983     0.00000   -2.013277741   -3.863322171   -1.850044430
     1      34     0.51744     0.26020     0.00000   -2.020329994   -3.867419943   -1.847089949
     1      34     0.52301     0.25056     0.00000   -2.030437768   -3.874388483   -1.843950715
     1      34     0.52857     0.24092     0.00000   -2.043161822   -3.880665825   -1.837504004
     1      34     0.53413     0.23129     0.00000   -2.058014406   -3.890120272   -1.832105866
     1      34     0.53970     0.22165     0.00000   -2.074487796   -3.902264539   -1.827776743
     1      34     0.54526     0.21201     0.00000   -2.092081905   -3.912747783   -1.820665877
     1      34     0.55083     0.20238     0.00000   -2.110330847   -3.920901625   -1.810570777
     1      34     0.55639     0.19274     0.00000   -2.128831487   -3.930169491   -1.801338003
     1      34     0.56195     0.18310     0.00000   -2.147278693   -3.940284929   -1.793006236
     1      34     0.56752     0.17347     0.00000   -2.165516586   -3.943752596   -1.778236010
     1      34     0.57308     0.16383     0.00000   -2.183625498   -3.945776469   -1.762150970
     1      34     0.57865     0.15419     0.00000   -2.202085552   -3.949575043   -1.747489490
     1      34     0.58421     0.14455     0.00000   -2.222102884   -3.956631902   -1.734529018
